,AD_MAG_1,AD_MAG_2,Similarity
41606,11A_II_BM_out.146.fa,2AD43II_FD_BM_out.65.fa,99.9818
41616,11A_II_BM_out.146.fa,2AD52I_FD_BM_out.6.fa,99.5177
41617,11A_II_BM_out.146.fa,2AD57I_FD_BM_out.121.fa,99.4954
41605,11A_II_BM_out.146.fa,2AD61I_FD_BM_out.98.fa,99.9822
41613,11A_II_BM_out.146.fa,6A_II_BM_out.175.fa,99.8639
41608,11A_II_BM_out.146.fa,7A_III_BM_out.206.fa,99.9745
41607,11A_II_BM_out.146.fa,8A_II_BM_out.166.fa,99.9816
41612,11A_II_BM_out.146.fa,9A_II_BM_out.187.fa,99.8935
41615,11A_II_BM_out.146.fa,AD118III_FD_BM_out.106.fa,99.6158
41601,11A_II_BM_out.146.fa,AD121II_FD_BM_out.25.fa,99.997
41610,11A_II_BM_out.146.fa,AD126III_FD_BM_out.97.fa,99.9577
41614,11A_II_BM_out.146.fa,AD128I_FD_BM_out.86.fa,99.849
41609,11A_II_BM_out.146.fa,AD138III_FD_BM_out.18.fa,99.9723
41603,11A_II_BM_out.146.fa,AD148III_FD_BM_out.71.fa,99.9895
41618,11A_II_BM_out.146.fa,AD152III_FD_BM_out.34.fa,99.1591
42716,11A_II_BM_out.148.fa,15A_II_BM_out.45.fa,99.9456
42720,11A_II_BM_out.148.fa,6A_II_BM_out.26.fa,99.7734
42719,11A_II_BM_out.148.fa,7A_III_BM_out.41.fa,99.8831
42718,11A_II_BM_out.148.fa,8A_II_BM_out.219.fa,99.8981
42717,11A_II_BM_out.148.fa,9A_II_BM_out.178.fa,99.9192
42492,11A_II_BM_out.149.fa,13A_III_BM_out.89.fa,98.5591
42494,11A_II_BM_out.149.fa,15A_II_BM_out.98.fa,98.3203
42491,11A_II_BM_out.149.fa,17A_III_BM_out.51.fa,98.9716
42493,11A_II_BM_out.149.fa,6A_II_BM_out.4.fa,98.5349
42798,11A_II_BM_out.15.fa,13A_III_BM_out.20.fa,98.8601
42799,11A_II_BM_out.15.fa,15A_II_BM_out.114.fa,98.7804
42802,11A_II_BM_out.15.fa,17A_III_BM_out.277.fa,98.7304
42796,11A_II_BM_out.15.fa,2AD43II_FD_BM_out.103.fa,98.9524
42804,11A_II_BM_out.15.fa,2AD48II_FD_BM_out.91.fa,98.6703
42811,11A_II_BM_out.15.fa,2AD52I_FD_BM_out.21.fa,98.4751
42805,11A_II_BM_out.15.fa,2AD57I_FD_BM_out.117.fa,98.6654
42807,11A_II_BM_out.15.fa,2AD61I_FD_BM_out.47.fa,98.6212
42795,11A_II_BM_out.15.fa,6A_II_BM_out.154.fa,98.9841
42800,11A_II_BM_out.15.fa,7A_III_BM_out.66.fa,98.7703
42812,11A_II_BM_out.15.fa,8A_II_BM_out.93.fa,98.351
42797,11A_II_BM_out.15.fa,9A_II_BM_out.82.fa,98.8981
42801,11A_II_BM_out.15.fa,AD118III_FD_BM_out.85.fa,98.7363
42813,11A_II_BM_out.15.fa,AD121II_FD_BM_out.97.fa,98.3114
42808,11A_II_BM_out.15.fa,AD126III_FD_BM_out.70.fa,98.616
42803,11A_II_BM_out.15.fa,AD132III_FD_BM_out.51.fa,98.6939
42809,11A_II_BM_out.15.fa,AD143II_FD_BM_out.57.fa,98.6099
42806,11A_II_BM_out.15.fa,AD148III_FD_BM_out.31.fa,98.66
42810,11A_II_BM_out.15.fa,AD152III_FD_BM_out.33.fa,98.5347
41488,11A_II_BM_out.150.fa,13A_III_BM_out.200.fa,99.6307
41489,11A_II_BM_out.150.fa,15A_II_BM_out.139.fa,99.6263
41487,11A_II_BM_out.150.fa,17A_III_BM_out.36.fa,99.6317
41497,11A_II_BM_out.150.fa,2AD43II_FD_BM_out.80.fa,98.7979
41486,11A_II_BM_out.150.fa,2AD48II_FD_BM_out.41.fa,99.6618
41494,11A_II_BM_out.150.fa,2AD52I_FD_BM_out.15.fa,99.3356
41491,11A_II_BM_out.150.fa,2AD57I_FD_BM_out.43.fa,99.5606
41495,11A_II_BM_out.150.fa,2AD61I_FD_BM_out.31.fa,99.0287
41479,11A_II_BM_out.150.fa,6A_II_BM_out.37.fa,99.7559
41478,11A_II_BM_out.150.fa,7A_III_BM_out.81.fa,99.7968
41480,11A_II_BM_out.150.fa,8A_II_BM_out.112.fa,99.7509
41484,11A_II_BM_out.150.fa,9A_II_BM_out.120.fa,99.7056
41481,11A_II_BM_out.150.fa,AD118III_FD_BM_out.9.fa,99.7223
41482,11A_II_BM_out.150.fa,AD121II_FD_BM_out.23.fa,99.7197
41485,11A_II_BM_out.150.fa,AD126III_FD_BM_out.80.fa,99.6771
41483,11A_II_BM_out.150.fa,AD128I_FD_BM_out.19.fa,99.706
41496,11A_II_BM_out.150.fa,AD132III_FD_BM_out.27.fa,98.9499
41490,11A_II_BM_out.150.fa,AD143II_FD_BM_out.49.fa,99.5929
41493,11A_II_BM_out.150.fa,AD148III_FD_BM_out.59.fa,99.4234
41492,11A_II_BM_out.150.fa,AD152III_FD_BM_out.53.fa,99.4353
41697,11A_II_BM_out.151.fa,13A_III_BM_out.69.fa,98.8734
41696,11A_II_BM_out.151.fa,15A_II_BM_out.222.fa,98.9114
41702,11A_II_BM_out.151.fa,2AD57I_FD_BM_out.71.fa,96.3526
41695,11A_II_BM_out.151.fa,7A_III_BM_out.216.fa,98.9459
41694,11A_II_BM_out.151.fa,8A_II_BM_out.199.fa,99.0284
41700,11A_II_BM_out.151.fa,9A_II_BM_out.76.fa,98.639
41693,11A_II_BM_out.151.fa,AD118III_FD_BM_out.161.fa,99.0841
41692,11A_II_BM_out.151.fa,AD121II_FD_BM_out.9.fa,99.0975
41699,11A_II_BM_out.151.fa,AD126III_FD_BM_out.68.fa,98.7156
41701,11A_II_BM_out.151.fa,AD128I_FD_BM_out.11.fa,98.555
41698,11A_II_BM_out.151.fa,AD132III_FD_BM_out.58.fa,98.7886
41703,11A_II_BM_out.151.fa,AD152III_FD_BM_out.94.fa,96.0207
41369,11A_II_BM_out.152.fa,13A_III_BM_out.13.fa,99.5402
41370,11A_II_BM_out.152.fa,15A_II_BM_out.23.fa,99.5005
41368,11A_II_BM_out.152.fa,17A_III_BM_out.131.fa,99.583
41366,11A_II_BM_out.152.fa,6A_II_BM_out.157.fa,99.6
41365,11A_II_BM_out.152.fa,7A_III_BM_out.109.fa,99.6933
41367,11A_II_BM_out.152.fa,8A_II_BM_out.5.fa,99.5884
41364,11A_II_BM_out.152.fa,9A_II_BM_out.65.fa,99.7106
41083,11A_II_BM_out.153.fa,13A_III_BM_out.40.fa,99.1388
41081,11A_II_BM_out.153.fa,15A_II_BM_out.53.fa,99.5699
41079,11A_II_BM_out.153.fa,17A_III_BM_out.111.fa,99.7275
41087,11A_II_BM_out.153.fa,2AD61I_FD_BM_out.15.fa,98.7197
41084,11A_II_BM_out.153.fa,6A_II_BM_out.230.fa,99.119
41082,11A_II_BM_out.153.fa,7A_III_BM_out.19.fa,99.4573
41086,11A_II_BM_out.153.fa,8A_II_BM_out.148.fa,98.9951
41080,11A_II_BM_out.153.fa,9A_II_BM_out.70.fa,99.6409
41085,11A_II_BM_out.153.fa,AD118III_FD_BM_out.90.fa,99.0272
40605,11A_II_BM_out.154.fa,13A_III_BM_out.144.fa,99.7442
40603,11A_II_BM_out.154.fa,15A_II_BM_out.66.fa,99.7614
40607,11A_II_BM_out.154.fa,17A_III_BM_out.174.fa,99.7091
40604,11A_II_BM_out.154.fa,6A_II_BM_out.46.fa,99.7474
40608,11A_II_BM_out.154.fa,7A_III_BM_out.232.fa,99.6809
40609,11A_II_BM_out.154.fa,8A_II_BM_out.25.fa,99.5957
40606,11A_II_BM_out.154.fa,9A_II_BM_out.63.fa,99.7294
40610,11A_II_BM_out.154.fa,AD118III_FD_BM_out.43.fa,99.3552
40985,11A_II_BM_out.157.fa,13A_III_BM_out.164.fa,97.8503
40986,11A_II_BM_out.157.fa,15A_II_BM_out.152.fa,97.6302
40984,11A_II_BM_out.157.fa,17A_III_BM_out.189.fa,99.3891
40987,11A_II_BM_out.157.fa,6A_II_BM_out.108.fa,97.5511
40988,11A_II_BM_out.157.fa,9A_II_BM_out.147.fa,97.3649
41875,11A_II_BM_out.158.fa,13A_III_BM_out.232.fa,99.8331
41881,11A_II_BM_out.158.fa,15A_II_BM_out.95.fa,99.4441
41876,11A_II_BM_out.158.fa,17A_III_BM_out.76.fa,99.6578
41878,11A_II_BM_out.158.fa,2AD57I_FD_BM_out.110.fa,99.6092
41877,11A_II_BM_out.158.fa,6A_II_BM_out.69.fa,99.6404
41880,11A_II_BM_out.158.fa,7A_III_BM_out.224.fa,99.5382
41882,11A_II_BM_out.158.fa,8A_II_BM_out.161.fa,99.4186
41879,11A_II_BM_out.158.fa,9A_II_BM_out.189.fa,99.5726
41883,11A_II_BM_out.158.fa,AD138III_FD_BM_out.29.fa,99.0221
41955,11A_II_BM_out.159.fa,13A_III_BM_out.143.fa,99.204
41957,11A_II_BM_out.159.fa,17A_III_BM_out.19.fa,99.1263
41958,11A_II_BM_out.159.fa,2AD57I_FD_BM_out.40.fa,98.8865
41954,11A_II_BM_out.159.fa,6A_II_BM_out.122.fa,99.244
41960,11A_II_BM_out.159.fa,8A_II_BM_out.72.fa,98.7535
41959,11A_II_BM_out.159.fa,9A_II_BM_out.92.fa,98.7878
41956,11A_II_BM_out.159.fa,AD132III_FD_BM_out.101.fa,99.1664
41953,11A_II_BM_out.159.fa,AD138III_FD_BM_out.96.fa,99.3017
43092,11A_II_BM_out.16.fa,13A_III_BM_out.3.fa,99.782
43090,11A_II_BM_out.16.fa,15A_II_BM_out.208.fa,99.8051
43095,11A_II_BM_out.16.fa,17A_III_BM_out.245.fa,99.7238
43078,11A_II_BM_out.16.fa,2AD43II_FD_BM_out.88.fa,99.8616
43083,11A_II_BM_out.16.fa,2AD48II_FD_BM_out.4.fa,99.838
43089,11A_II_BM_out.16.fa,2AD57I_FD_BM_out.114.fa,99.8155
43094,11A_II_BM_out.16.fa,2AD61I_FD_BM_out.94.fa,99.7544
43084,11A_II_BM_out.16.fa,6A_II_BM_out.193.fa,99.8378
43082,11A_II_BM_out.16.fa,7A_III_BM_out.210.fa,99.8388
43086,11A_II_BM_out.16.fa,8A_II_BM_out.47.fa,99.8213
43091,11A_II_BM_out.16.fa,9A_II_BM_out.36.fa,99.8014
43088,11A_II_BM_out.16.fa,AD118III_FD_BM_out.137.fa,99.8195
43085,11A_II_BM_out.16.fa,AD121II_FD_BM_out.6.fa,99.8273
43081,11A_II_BM_out.16.fa,AD126III_FD_BM_out.72.fa,99.8507
43079,11A_II_BM_out.16.fa,AD128I_FD_BM_out.83.fa,99.8612
43080,11A_II_BM_out.16.fa,AD132III_FD_BM_out.64.fa,99.8592
43093,11A_II_BM_out.16.fa,AD138III_FD_BM_out.86.fa,99.7767
43087,11A_II_BM_out.16.fa,AD143II_FD_BM_out.76.fa,99.8213
43096,11A_II_BM_out.16.fa,AD148III_FD_BM_out.78.fa,99.7015
43077,11A_II_BM_out.16.fa,AD152III_FD_BM_out.109.fa,99.8625
41796,11A_II_BM_out.160.fa,13A_III_BM_out.212.fa,99.9875
41798,11A_II_BM_out.160.fa,15A_II_BM_out.186.fa,99.8858
41801,11A_II_BM_out.160.fa,17A_III_BM_out.216.fa,99.8307
41805,11A_II_BM_out.160.fa,2AD43II_FD_BM_out.54.fa,98.6742
41808,11A_II_BM_out.160.fa,2AD57I_FD_BM_out.32.fa,95.0566
41807,11A_II_BM_out.160.fa,2AD61I_FD_BM_out.68.fa,95.0805
41797,11A_II_BM_out.160.fa,6A_II_BM_out.71.fa,99.9493
41799,11A_II_BM_out.160.fa,7A_III_BM_out.153.fa,99.8591
41795,11A_II_BM_out.160.fa,8A_II_BM_out.20.fa,99.9877
41800,11A_II_BM_out.160.fa,9A_II_BM_out.64.fa,99.8545
41802,11A_II_BM_out.160.fa,AD118III_FD_BM_out.40.fa,99.7745
41806,11A_II_BM_out.160.fa,AD121II_FD_BM_out.7.fa,98.642
41803,11A_II_BM_out.160.fa,AD132III_FD_BM_out.106.fa,99.6629
41804,11A_II_BM_out.160.fa,AD148III_FD_BM_out.113.fa,98.7121
41809,11A_II_BM_out.160.fa,AD152III_FD_BM_out.83.fa,95.0543
42050,11A_II_BM_out.161.fa,13A_III_BM_out.133.fa,99.2209
42045,11A_II_BM_out.161.fa,15A_II_BM_out.149.fa,99.4856
42047,11A_II_BM_out.161.fa,17A_III_BM_out.169.fa,99.3976
42053,11A_II_BM_out.161.fa,2AD43II_FD_BM_out.102.fa,97.8681
42051,11A_II_BM_out.161.fa,6A_II_BM_out.206.fa,99.1899
42048,11A_II_BM_out.161.fa,7A_III_BM_out.151.fa,99.3187
42049,11A_II_BM_out.161.fa,8A_II_BM_out.13.fa,99.2658
42052,11A_II_BM_out.161.fa,9A_II_BM_out.216.fa,99.132
42046,11A_II_BM_out.161.fa,AD152III_FD_BM_out.120.fa,99.4196
42221,11A_II_BM_out.162.fa,13A_III_BM_out.230.fa,98.067
42229,11A_II_BM_out.162.fa,15A_II_BM_out.226.fa,97.738
42225,11A_II_BM_out.162.fa,17A_III_BM_out.140.fa,97.9211
42212,11A_II_BM_out.162.fa,2AD43II_FD_BM_out.70.fa,98.3016
42211,11A_II_BM_out.162.fa,2AD48II_FD_BM_out.20.fa,98.4344
42231,11A_II_BM_out.162.fa,2AD52I_FD_BM_out.19.fa,96.0026
42214,11A_II_BM_out.162.fa,2AD57I_FD_BM_out.106.fa,98.2555
42222,11A_II_BM_out.162.fa,2AD61I_FD_BM_out.12.fa,98.0616
42224,11A_II_BM_out.162.fa,6A_II_BM_out.111.fa,98.0471
42230,11A_II_BM_out.162.fa,7A_III_BM_out.113.fa,97.6206
42228,11A_II_BM_out.162.fa,8A_II_BM_out.115.fa,97.8115
42227,11A_II_BM_out.162.fa,9A_II_BM_out.49.fa,97.8589
42217,11A_II_BM_out.162.fa,AD118III_FD_BM_out.86.fa,98.1878
42219,11A_II_BM_out.162.fa,AD121II_FD_BM_out.94.fa,98.1252
42220,11A_II_BM_out.162.fa,AD126III_FD_BM_out.30.fa,98.1236
42213,11A_II_BM_out.162.fa,AD128I_FD_BM_out.69.fa,98.2615
42223,11A_II_BM_out.162.fa,AD132III_FD_BM_out.41.fa,98.061
42218,11A_II_BM_out.162.fa,AD138III_FD_BM_out.69.fa,98.1565
42226,11A_II_BM_out.162.fa,AD143II_FD_BM_out.63.fa,97.8773
42215,11A_II_BM_out.162.fa,AD148III_FD_BM_out.30.fa,98.2
42216,11A_II_BM_out.162.fa,AD152III_FD_BM_out.77.fa,98.1958
42914,11A_II_BM_out.165.fa,15A_II_BM_out.136.fa,98.8286
42920,11A_II_BM_out.165.fa,17A_III_BM_out.214.fa,98.0902
42919,11A_II_BM_out.165.fa,2AD57I_FD_BM_out.13.fa,98.4221
42917,11A_II_BM_out.165.fa,2AD61I_FD_BM_out.86.fa,98.6202
42916,11A_II_BM_out.165.fa,6A_II_BM_out.97.fa,98.8061
42912,11A_II_BM_out.165.fa,7A_III_BM_out.205.fa,98.9342
42910,11A_II_BM_out.165.fa,8A_II_BM_out.63.fa,99.6236
42915,11A_II_BM_out.165.fa,AD118III_FD_BM_out.144.fa,98.8213
42911,11A_II_BM_out.165.fa,AD121II_FD_BM_out.55.fa,99.4403
42913,11A_II_BM_out.165.fa,AD126III_FD_BM_out.18.fa,98.9283
42921,11A_II_BM_out.165.fa,AD128I_FD_BM_out.48.fa,97.1492
42918,11A_II_BM_out.165.fa,AD148III_FD_BM_out.27.fa,98.5664
42688,11A_II_BM_out.167.fa,13A_III_BM_out.166.fa,99.7447
42683,11A_II_BM_out.167.fa,15A_II_BM_out.169.fa,99.8435
42687,11A_II_BM_out.167.fa,17A_III_BM_out.134.fa,99.7637
42694,11A_II_BM_out.167.fa,2AD61I_FD_BM_out.87.fa,99.1747
42682,11A_II_BM_out.167.fa,6A_II_BM_out.200.fa,99.8603
42690,11A_II_BM_out.167.fa,7A_III_BM_out.120.fa,99.7005
42689,11A_II_BM_out.167.fa,8A_II_BM_out.35.fa,99.7307
42684,11A_II_BM_out.167.fa,9A_II_BM_out.220.fa,99.8293
42686,11A_II_BM_out.167.fa,AD118III_FD_BM_out.33.fa,99.7747
42685,11A_II_BM_out.167.fa,AD121II_FD_BM_out.44.fa,99.7978
42691,11A_II_BM_out.167.fa,AD132III_FD_BM_out.88.fa,99.679
42692,11A_II_BM_out.167.fa,AD138III_FD_BM_out.13.fa,99.6706
42693,11A_II_BM_out.167.fa,AD148III_FD_BM_out.72.fa,99.627
41573,11A_II_BM_out.169.fa,13A_III_BM_out.183.fa,99.9392
41572,11A_II_BM_out.169.fa,15A_II_BM_out.201.fa,99.9398
41576,11A_II_BM_out.169.fa,17A_III_BM_out.195.fa,99.9258
41575,11A_II_BM_out.169.fa,6A_II_BM_out.25.fa,99.9292
41574,11A_II_BM_out.169.fa,7A_III_BM_out.194.fa,99.9338
41571,11A_II_BM_out.169.fa,8A_II_BM_out.187.fa,99.9457
41577,11A_II_BM_out.169.fa,9A_II_BM_out.164.fa,99.9235
41578,11A_II_BM_out.169.fa,AD148III_FD_BM_out.90.fa,98.8663
42901,11A_II_BM_out.17.fa,13A_III_BM_out.39.fa,98.7294
42902,11A_II_BM_out.17.fa,15A_II_BM_out.203.fa,98.7063
42900,11A_II_BM_out.17.fa,17A_III_BM_out.46.fa,98.86
42904,11A_II_BM_out.17.fa,7A_III_BM_out.168.fa,97.9561
42903,11A_II_BM_out.17.fa,9A_II_BM_out.95.fa,98.174
42840,11A_II_BM_out.170.fa,13A_III_BM_out.168.fa,99.3072
42844,11A_II_BM_out.170.fa,15A_II_BM_out.24.fa,98.3503
42841,11A_II_BM_out.170.fa,17A_III_BM_out.87.fa,99.1705
42845,11A_II_BM_out.170.fa,7A_III_BM_out.100.fa,98.2158
42843,11A_II_BM_out.170.fa,8A_II_BM_out.116.fa,98.4768
42842,11A_II_BM_out.170.fa,9A_II_BM_out.156.fa,98.6954
42438,11A_II_BM_out.171.fa,13A_III_BM_out.8.fa,99.301
42429,11A_II_BM_out.171.fa,15A_II_BM_out.8.fa,99.4125
42439,11A_II_BM_out.171.fa,17A_III_BM_out.142.fa,99.2982
42441,11A_II_BM_out.171.fa,2AD43II_FD_BM_out.59.fa,99.2583
42434,11A_II_BM_out.171.fa,2AD48II_FD_BM_out.5.fa,99.3414
42440,11A_II_BM_out.171.fa,2AD57I_FD_BM_out.48.fa,99.2786
42431,11A_II_BM_out.171.fa,2AD61I_FD_BM_out.43.fa,99.3612
42436,11A_II_BM_out.171.fa,6A_II_BM_out.226.fa,99.3381
42435,11A_II_BM_out.171.fa,7A_III_BM_out.54.fa,99.3386
42426,11A_II_BM_out.171.fa,8A_II_BM_out.99.fa,99.46
42433,11A_II_BM_out.171.fa,9A_II_BM_out.73.fa,99.3585
42428,11A_II_BM_out.171.fa,AD118III_FD_BM_out.163.fa,99.4394
42424,11A_II_BM_out.171.fa,AD121II_FD_BM_out.78.fa,99.5233
42432,11A_II_BM_out.171.fa,AD126III_FD_BM_out.66.fa,99.3595
42427,11A_II_BM_out.171.fa,AD128I_FD_BM_out.92.fa,99.4435
42425,11A_II_BM_out.171.fa,AD132III_FD_BM_out.94.fa,99.4787
42443,11A_II_BM_out.171.fa,AD138III_FD_BM_out.74.fa,98.233
42437,11A_II_BM_out.171.fa,AD143II_FD_BM_out.48.fa,99.3329
42430,11A_II_BM_out.171.fa,AD148III_FD_BM_out.92.fa,99.4055
42442,11A_II_BM_out.171.fa,AD152III_FD_BM_out.137.fa,99.1523
42888,11A_II_BM_out.172.fa,13A_III_BM_out.205.fa,98.371
42887,11A_II_BM_out.172.fa,15A_II_BM_out.212.fa,98.4175
42896,11A_II_BM_out.172.fa,17A_III_BM_out.156.fa,98.1121
42886,11A_II_BM_out.172.fa,2AD43II_FD_BM_out.43.fa,98.4625
42878,11A_II_BM_out.172.fa,2AD48II_FD_BM_out.47.fa,98.7113
42892,11A_II_BM_out.172.fa,2AD57I_FD_BM_out.102.fa,98.3404
42881,11A_II_BM_out.172.fa,2AD61I_FD_BM_out.44.fa,98.6323
42893,11A_II_BM_out.172.fa,6A_II_BM_out.127.fa,98.3263
42885,11A_II_BM_out.172.fa,7A_III_BM_out.107.fa,98.4807
42891,11A_II_BM_out.172.fa,8A_II_BM_out.125.fa,98.3438
42890,11A_II_BM_out.172.fa,9A_II_BM_out.87.fa,98.3626
42880,11A_II_BM_out.172.fa,AD118III_FD_BM_out.24.fa,98.6653
42882,11A_II_BM_out.172.fa,AD121II_FD_BM_out.85.fa,98.6167
42879,11A_II_BM_out.172.fa,AD126III_FD_BM_out.106.fa,98.7007
42895,11A_II_BM_out.172.fa,AD128I_FD_BM_out.90.fa,98.261
42883,11A_II_BM_out.172.fa,AD132III_FD_BM_out.16.fa,98.5296
42884,11A_II_BM_out.172.fa,AD138III_FD_BM_out.51.fa,98.5051
42877,11A_II_BM_out.172.fa,AD143II_FD_BM_out.11.fa,98.7652
42894,11A_II_BM_out.172.fa,AD148III_FD_BM_out.17.fa,98.265
42889,11A_II_BM_out.172.fa,AD152III_FD_BM_out.126.fa,98.3692
43046,11A_II_BM_out.173.fa,13A_III_BM_out.5.fa,99.453
43047,11A_II_BM_out.173.fa,15A_II_BM_out.123.fa,99.4493
43048,11A_II_BM_out.173.fa,17A_III_BM_out.34.fa,99.3954
43045,11A_II_BM_out.173.fa,6A_II_BM_out.215.fa,99.4725
43042,11A_II_BM_out.173.fa,7A_III_BM_out.12.fa,99.6021
43044,11A_II_BM_out.173.fa,8A_II_BM_out.141.fa,99.4816
43043,11A_II_BM_out.173.fa,AD118III_FD_BM_out.97.fa,99.6004
43049,11A_II_BM_out.173.fa,AD121II_FD_BM_out.52.fa,99.1129
42101,11A_II_BM_out.174.fa,13A_III_BM_out.107.fa,99.3656
42115,11A_II_BM_out.174.fa,15A_II_BM_out.113.fa,99.2068
42118,11A_II_BM_out.174.fa,17A_III_BM_out.8.fa,99.1208
42104,11A_II_BM_out.174.fa,2AD43II_FD_BM_out.52.fa,99.3542
42114,11A_II_BM_out.174.fa,2AD48II_FD_BM_out.86.fa,99.2179
42108,11A_II_BM_out.174.fa,2AD57I_FD_BM_out.37.fa,99.3182
42120,11A_II_BM_out.174.fa,2AD61I_FD_BM_out.120.fa,98.9663
42113,11A_II_BM_out.174.fa,6A_II_BM_out.132.fa,99.2525
42119,11A_II_BM_out.174.fa,7A_III_BM_out.51.fa,99.0554
42106,11A_II_BM_out.174.fa,8A_II_BM_out.189.fa,99.3299
42112,11A_II_BM_out.174.fa,9A_II_BM_out.101.fa,99.2671
42110,11A_II_BM_out.174.fa,AD118III_FD_BM_out.99.fa,99.3045
42111,11A_II_BM_out.174.fa,AD121II_FD_BM_out.5.fa,99.2789
42107,11A_II_BM_out.174.fa,AD126III_FD_BM_out.90.fa,99.3266
42102,11A_II_BM_out.174.fa,AD128I_FD_BM_out.6.fa,99.3562
42105,11A_II_BM_out.174.fa,AD132III_FD_BM_out.107.fa,99.3354
42109,11A_II_BM_out.174.fa,AD138III_FD_BM_out.46.fa,99.313
42116,11A_II_BM_out.174.fa,AD143II_FD_BM_out.28.fa,99.1745
42103,11A_II_BM_out.174.fa,AD148III_FD_BM_out.99.fa,99.3549
42117,11A_II_BM_out.174.fa,AD152III_FD_BM_out.27.fa,99.1529
42189,11A_II_BM_out.175.fa,13A_III_BM_out.1.fa,99.3895
42192,11A_II_BM_out.175.fa,15A_II_BM_out.202.fa,99.275
42193,11A_II_BM_out.175.fa,17A_III_BM_out.243.fa,99.1951
42194,11A_II_BM_out.175.fa,6A_II_BM_out.125.fa,99.1076
42195,11A_II_BM_out.175.fa,7A_III_BM_out.74.fa,99.0927
42196,11A_II_BM_out.175.fa,8A_II_BM_out.194.fa,98.8675
42191,11A_II_BM_out.175.fa,9A_II_BM_out.97.fa,99.3061
42190,11A_II_BM_out.175.fa,AD152III_FD_BM_out.135.fa,99.3135
41908,11A_II_BM_out.177.fa,2AD48II_FD_BM_out.70.fa,99.97
41906,11A_II_BM_out.177.fa,2AD57I_FD_BM_out.119.fa,99.9911
41910,11A_II_BM_out.177.fa,AD132III_FD_BM_out.22.fa,98.8448
41907,11A_II_BM_out.177.fa,AD148III_FD_BM_out.25.fa,99.9724
41909,11A_II_BM_out.177.fa,AD152III_FD_BM_out.102.fa,99.968
40883,11A_II_BM_out.179.fa,13A_III_BM_out.225.fa,97.2264
40895,11A_II_BM_out.179.fa,15A_II_BM_out.129.fa,96.4928
40890,11A_II_BM_out.179.fa,17A_III_BM_out.149.fa,96.9365
40881,11A_II_BM_out.179.fa,2AD43II_FD_BM_out.64.fa,97.3363
40888,11A_II_BM_out.179.fa,2AD48II_FD_BM_out.83.fa,96.9841
40897,11A_II_BM_out.179.fa,2AD57I_FD_BM_out.34.fa,96.153
40892,11A_II_BM_out.179.fa,2AD61I_FD_BM_out.61.fa,96.7577
40884,11A_II_BM_out.179.fa,6A_II_BM_out.90.fa,97.1927
40887,11A_II_BM_out.179.fa,7A_III_BM_out.157.fa,97.1582
40882,11A_II_BM_out.179.fa,8A_II_BM_out.157.fa,97.2627
40886,11A_II_BM_out.179.fa,9A_II_BM_out.150.fa,97.1816
40896,11A_II_BM_out.179.fa,AD118III_FD_BM_out.75.fa,96.2604
40889,11A_II_BM_out.179.fa,AD121II_FD_BM_out.3.fa,96.9688
40885,11A_II_BM_out.179.fa,AD126III_FD_BM_out.58.fa,97.188
40893,11A_II_BM_out.179.fa,AD132III_FD_BM_out.69.fa,96.627
40898,11A_II_BM_out.179.fa,AD138III_FD_BM_out.56.fa,96.1269
40891,11A_II_BM_out.179.fa,AD143II_FD_BM_out.83.fa,96.7877
40894,11A_II_BM_out.179.fa,AD148III_FD_BM_out.37.fa,96.6193
42127,11A_II_BM_out.183.fa,13A_III_BM_out.71.fa,98.4021
42122,11A_II_BM_out.183.fa,15A_II_BM_out.85.fa,99.8725
42124,11A_II_BM_out.183.fa,17A_III_BM_out.235.fa,99.8177
42126,11A_II_BM_out.183.fa,6A_II_BM_out.128.fa,98.5101
42123,11A_II_BM_out.183.fa,7A_III_BM_out.143.fa,99.8304
42125,11A_II_BM_out.183.fa,8A_II_BM_out.94.fa,99.1601
42128,11A_II_BM_out.183.fa,9A_II_BM_out.151.fa,97.8612
43030,11A_II_BM_out.184.fa,13A_III_BM_out.167.fa,99.7989
43029,11A_II_BM_out.184.fa,15A_II_BM_out.207.fa,99.8186
43033,11A_II_BM_out.184.fa,17A_III_BM_out.101.fa,99.7811
43038,11A_II_BM_out.184.fa,2AD57I_FD_BM_out.67.fa,99.7564
43040,11A_II_BM_out.184.fa,2AD61I_FD_BM_out.92.fa,99.2039
43032,11A_II_BM_out.184.fa,6A_II_BM_out.15.fa,99.7935
43036,11A_II_BM_out.184.fa,7A_III_BM_out.123.fa,99.7723
43037,11A_II_BM_out.184.fa,8A_II_BM_out.121.fa,99.7676
43035,11A_II_BM_out.184.fa,9A_II_BM_out.105.fa,99.7773
43028,11A_II_BM_out.184.fa,AD118III_FD_BM_out.15.fa,99.823
43031,11A_II_BM_out.184.fa,AD126III_FD_BM_out.75.fa,99.796
43039,11A_II_BM_out.184.fa,AD128I_FD_BM_out.76.fa,99.3849
43034,11A_II_BM_out.184.fa,AD132III_FD_BM_out.66.fa,99.7806
43027,11A_II_BM_out.184.fa,AD138III_FD_BM_out.17.fa,99.8274
42825,11A_II_BM_out.187.fa,13A_III_BM_out.81.fa,99.5405
42828,11A_II_BM_out.187.fa,15A_II_BM_out.230.fa,99.4504
42835,11A_II_BM_out.187.fa,2AD43II_FD_BM_out.51.fa,98.9946
42831,11A_II_BM_out.187.fa,2AD48II_FD_BM_out.64.fa,99.3119
